ID,player_positions,age,dob,height_cm,weight_kg,league_id,league_name,club_team_id,club_position,nation_position,nation_jersey_number,player_tags,player_traits,gk,player_face_url
20801,"ST, LW",33,2/5/1985,187,83,31,Serie A,45,ST,LS,7,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Power Free-Kick, Diver, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Through Ball",20,https://cdn.sofifa.net/players/020/801/19_120.png
158023,"CF, RW, ST",31,6/24/1987,170,72,53,La Liga,241,RW,CF,10,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), One Club Player, Chip Shot (AI)",19,https://cdn.sofifa.net/players/158/023/19_120.png
190871,LW,26,2/5/1992,175,68,16,Ligue 1,73,LW,LW,10,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Diver, Selfish, Flair, Speed Dribbler (AI), Technical Dribbler (AI), Takes Finesse Free Kicks",20,https://cdn.sofifa.net/players/190/871/19_120.png
155862,CB,32,3/30/1986,184,82,53,La Liga,243,LCB,LCB,15,"#Aerial Threat, #Tackling, #Tactician, #Complete Defender","Dives Into Tackles (AI), Leadership, Power Header, Team Player",18,https://cdn.sofifa.net/players/155/862/19_120.png
176580,ST,31,1/24/1987,182,86,53,La Liga,241,ST,LS,9,"#Dribbler, #Clinical Finisher","Diver, Beat Offside Trap, Outside Foot Shot, Technical Dribbler (AI)",37,https://cdn.sofifa.net/players/176/580/19_120.png
177003,"CM, CDM",32,9/9/1985,172,66,53,La Liga,243,RCM,,,"#Dribbler, #Playmaker, #Engine, #Crosser, #Acrobat, #Complete Midfielder","Leadership, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",20,https://cdn.sofifa.net/players/177/003/19_120.png
183277,"LW, CF",27,1/7/1991,173,74,13,Premier League,5,LW,LF,10,"#Speedster, #Dribbler, #Acrobat","Beat Offside Trap, Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",18,https://cdn.sofifa.net/players/183/277/19_120.png
192985,"CAM, CM",27,6/28/1991,181,70,13,Premier League,10,RCM,RCM,7,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder","Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",21,https://cdn.sofifa.net/players/192/985/19_120.png
193080,GK,27,11/7/1990,193,76,13,Premier League,11,GK,GK,1,,"GK Long Throw, Saves with Feet",89,https://cdn.sofifa.net/players/193/080/19_120.png
167495,GK,32,3/27/1986,193,92,19,Bundesliga,21,GK,GK,1,,"GK Long Throw, 1-on-1 Rush, Rushes Out Of Goal, Comes For Crosses",88,https://cdn.sofifa.net/players/167/495/19_120.png
182493,CB,32,2/16/1986,187,78,53,La Liga,240,LCB,RCB,3,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender","Dives Into Tackles (AI), Power Header",17,https://cdn.sofifa.net/players/182/493/19_120.png
182521,"CM, CDM",28,1/4/1990,183,76,53,La Liga,243,LCM,LDM,8,"#Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder","Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI), Set Play Specialist",18,https://cdn.sofifa.net/players/182/521/19_120.png
188545,ST,29,8/21/1988,184,80,19,Bundesliga,21,ST,LS,9,"#FK Specialist, #Clinical Finisher","Injury Free, Finesse Shot, Chip Shot (AI)",19,https://cdn.sofifa.net/players/188/545/19_120.png
192119,GK,26,5/11/1992,199,96,53,La Liga,243,SUB,GK,1,,"GK Long Throw, Comes For Crosses",87,https://cdn.sofifa.net/players/192/119/19_120.png
200389,GK,25,1/7/1993,188,87,53,La Liga,240,GK,SUB,1,,"Puncher, GK Long Throw, Comes For Crosses",88,https://cdn.sofifa.net/players/200/389/19_120.png
138956,CB,33,8/14/1984,187,85,31,Serie A,45,LCB,SUB,3,"#Tackling, #Tactician, #Strength, #Complete Defender","Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Dives Into Tackles (AI), Leadership, Power Header",12,https://cdn.sofifa.net/players/138/956/19_120.png
153079,ST,30,6/2/1988,173,70,13,Premier League,10,ST,SUB,19,"#Dribbler, #Acrobat, #Clinical Finisher","Beat Offside Trap, Leadership, Flair, Technical Dribbler (AI)",21,https://cdn.sofifa.net/players/153/079/19_120.png
168542,"CAM, CM",32,1/8/1986,173,67,13,Premier League,10,LCM,,,"#Dribbler, #Playmaker, #Acrobat","Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (AI), Takes Finesse Free Kicks",18,https://cdn.sofifa.net/players/168/542/19_120.png
178603,CB,29,12/16/1988,191,92,19,Bundesliga,21,LCB,LCB,5,"#Tackling, #Tactician ","Long Passer (AI), Playmaker (AI)",17,https://cdn.sofifa.net/players/178/603/19_120.png
179813,ST,31,2/14/1987,185,77,16,Ligue 1,73,ST,RS,21,#Engine,"Beat Offside Trap, Power Header",19,https://cdn.sofifa.net/players/179/813/19_120.png
192448,GK,26,4/30/1992,187,85,53,La Liga,241,GK,SUB,22,,"Rushes Out Of Goal, Comes For Crosses, Saves with Feet",87,https://cdn.sofifa.net/players/192/448/19_120.png
194765,ST,27,3/21/1991,176,73,53,La Liga,240,LS,CAM,7,"#Dribbler, #Acrobat, #Clinical Finisher","Beat Offside Trap, Finesse Shot, Speed Dribbler (AI)",21,https://cdn.sofifa.net/players/194/765/19_120.png
197781,"CAM, CM, LW",26,4/21/1992,176,79,53,La Liga,243,LW,LW,22,"#Dribbler, #Playmaker ","Selfish, Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",17,https://cdn.sofifa.net/players/197/781/19_120.png
202126,ST,24,7/28/1993,188,89,13,Premier League,18,ST,LS,9,"#Engine, #Clinical Finisher","Selfish, Leadership, Long Shot Taker (AI)",20,https://cdn.sofifa.net/players/202/126/19_120.png
211110,"CAM, ST, CF",24,11/15/1993,177,75,31,Serie A,45,CAM,SUB,21,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder","Avoids Using Weaker Foot, Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI), Set Play Specialist, Takes Finesse Free Kicks",14,https://cdn.sofifa.net/players/211/110/19_120.png
215914,"CDM, CM",27,3/29/1991,168,68,13,Premier League,5,RCM,LDM,13,"#Tackling, #Tactician ",Injury Free,20,https://cdn.sofifa.net/players/215/914/19_120.png
1179,GK,40,1/28/1978,192,92,16,Ligue 1,73,GK,,,,"Team Player, Cautious With Crosses",85,https://cdn.sofifa.net/players/001/179/19_120.png
162835,GK,33,7/14/1984,193,92,31,Serie A,44,GK,,,,"Puncher, GK Long Throw, 1-on-1 Rush",86,https://cdn.sofifa.net/players/162/835/19_120.png
