ID,pace,shooting,passing,dribbling,defending,physic
20801,90,93,81,89,35,79
158023,88,91,88,96,32,61
190871,92,84,83,95,32,59
155862,75,63,71,71,91,84
176580,80,90,79,88,52,85
177003,76,76,90,91,70,67
183277,91,82,86,94,35,67
192985,77,86,92,87,60,78
193080,,,,,,
167495,,,,,,
182493,68,48,65,62,89,84
182521,67,82,89,82,74,69
188545,78,89,75,85,41,82
192119,,,,,,
200389,,,,,,
138956,69,46,56,58,91,82
153079,84,89,76,89,28,73
168542,66,74,87,90,50,60
178603,65,58,76,72,90,76
179813,76,87,72,80,52,83
192448,,,,,,
194765,86,86,81,89,50,70
197781,72,81,85,93,61,62
202126,70,90,79,80,47,83
211110,85,85,84,91,28,66
215914,80,66,77,81,87,84
1179,,,,,,
162835,,,,,,
164240,71,54,73,69,88,79
167664,73,87,70,83,31,74
167948,,,,,,
173731,95,88,84,85,58,76
176676,82,71,83,90,81,82
189242,81,81,86,91,45,64
189511,43,62,79,78,85,80
190460,74,82,89,86,53,64
195864,75,79,86,85,69,87
198219,90,76,84,91,36,50
198710,72,86,88,86,50,67
200145,62,69,75,72,87,88
209331,92,84,79,89,45,72
41,69,70,87,90,61,57
152729,55,61,69,65,87,76
168651,62,84,87,82,72,69
171877,70,80,84,84,72,69
172871,63,63,73,72,88,79
175943,89,83,80,91,34,55
184941,82,83,79,89,45,77
188567,94,84,75,80,37,70
189332,93,69,79,83,79,72
192387,82,87,63,82,39,76
192505,84,84,76,75,35,87
193041,,,,,,
201024,72,26,46,59,88,86
201399,78,85,61,79,36,72
205600,72,64,71,72,88,82
231747,96,81,79,89,39,72
135507,67,74,78,79,83,79
171919,63,69,64,61,87,74
176635,70,73,86,85,24,58
177509,70,45,54,64,87,85
180206,66,70,86,86,73,69
181458,86,80,80,84,62,78
183907,73,50,72,65,85,83
184344,61,58,69,70,87,80
184432,76,55,78,73,87,77
189509,73,74,84,90,67,63
189513,47,80,88,79,71,71
189596,74,83,80,78,50,71
190483,95,75,81,91,43,65
191043,85,65,77,81,82,83
191202,56,71,79,76,83,83
192366,60,57,63,59,86,80
199556,65,60,84,89,79,66
201535,84,45,61,64,86,80
